problem,rep,a_source,b_source,eval_alpha,choice,preferred,eval_text
Why do antidepressants take 2-4 weeks to work desp,2,alpha15,alpha0,1.5,A,alpha15,A
Why do antidepressants take 2-4 weeks to work desp,3,alpha0,alpha15,0.0,A,alpha0,A
Why do antidepressants take 2-4 weeks to work desp,3,alpha0,alpha15,1.5,A,alpha0,A
Why do antidepressants take 2-4 weeks to work desp,4,alpha0,alpha15,0.0,A,alpha0,A
Why do antidepressants take 2-4 weeks to work desp,4,alpha0,alpha15,1.5,A,alpha0,A
Why do antidepressants take 2-4 weeks to work desp,5,alpha15,alpha0,0.0,B,alpha0,B
Why do antidepressants take 2-4 weeks to work desp,5,alpha15,alpha0,1.5,A,alpha15,A
Why do antidepressants take 2-4 weeks to work desp,6,alpha0,alpha15,0.0,A,alpha0,A
Why do antidepressants take 2-4 weeks to work desp,6,alpha0,alpha15,1.5,A,alpha0,A
Why do antidepressants take 2-4 weeks to work desp,7,alpha0,alpha15,0.0,A,alpha0,A
Why do antidepressants take 2-4 weeks to work desp,7,alpha0,alpha15,1.5,A,alpha0,A
Why do antidepressants take 2-4 weeks to work desp,8,alpha0,alpha15,0.0,A,alpha0,A
Why do antidepressants take 2-4 weeks to work desp,8,alpha0,alpha15,1.5,A,alpha0,A
Why do antidepressants take 2-4 weeks to work desp,9,alpha15,alpha0,0.0,B,alpha0,B
Why do antidepressants take 2-4 weeks to work desp,9,alpha15,alpha0,1.5,A,alpha15,A
Why do antidepressants take 2-4 weeks to work desp,10,alpha15,alpha0,0.0,A,alpha15,A
Why do antidepressants take 2-4 weeks to work desp,10,alpha15,alpha0,1.5,A,alpha15,A
How does PTSD maintain itself long after the traum,1,alpha15,alpha0,0.0,A,alpha15,A
How does PTSD maintain itself long after the traum,1,alpha15,alpha0,1.5,A,alpha15,A
How does PTSD maintain itself long after the traum,2,alpha15,alpha0,0.0,B,alpha0,B
How does PTSD maintain itself long after the traum,2,alpha15,alpha0,1.5,A,alpha15,A
How does PTSD maintain itself long after the traum,3,alpha15,alpha0,0.0,B,alpha0,B
How does PTSD maintain itself long after the traum,3,alpha15,alpha0,1.5,A,alpha15,A
How does PTSD maintain itself long after the traum,4,alpha15,alpha0,0.0,B,alpha0,B
How does PTSD maintain itself long after the traum,4,alpha15,alpha0,1.5,A,alpha15,A
How does PTSD maintain itself long after the traum,5,alpha0,alpha15,0.0,A,alpha0,A
How does PTSD maintain itself long after the traum,5,alpha0,alpha15,1.5,A,alpha0,A
How does PTSD maintain itself long after the traum,6,alpha15,alpha0,0.0,B,alpha0,B
How does PTSD maintain itself long after the traum,6,alpha15,alpha0,1.5,A,alpha15,A
How does PTSD maintain itself long after the traum,7,alpha15,alpha0,0.0,B,alpha0,B
How does PTSD maintain itself long after the traum,7,alpha15,alpha0,1.5,A,alpha15,A
How does PTSD maintain itself long after the traum,8,alpha15,alpha0,0.0,B,alpha0,B
How does PTSD maintain itself long after the traum,8,alpha15,alpha0,1.5,A,alpha15,A
How does PTSD maintain itself long after the traum,9,alpha15,alpha0,0.0,B,alpha0,B
How does PTSD maintain itself long after the traum,9,alpha15,alpha0,1.5,A,alpha15,A
How does PTSD maintain itself long after the traum,10,alpha15,alpha0,0.0,B,alpha0,B
How does PTSD maintain itself long after the traum,10,alpha15,alpha0,1.5,A,alpha15,A
